id,from,at,to,open,close,min,max,volume,SMA20,EMA50,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low
210817522,1721746380,1721746381000000000,1721746381,1.087525,1.087525,1.087525,1.087525,0,1.0875024999999998,1.0875399719337278,52.02368881536652,-1.3920601178440961e-06,-9.616478065005606e-06,1.0875561190264758,1.0874488809735239
210817523,1721746381,1721746382000000000,1721746382,1.087545,1.087545,1.087545,1.087545,0,1.087504,1.0875401691127973,58.107605578086144,9.175019108909055e-07,-7.509682069826305e-06,1.0875605331761025,1.0874474668238976
210817524,1721746382,1721746383000000000,1721746383,1.087535,1.087535,1.087535,1.087535,0,1.087505,1.0875399664024916,54.39346911171838,1.918811170620316e-06,-5.623983421736981e-06,1.0875629655069867,1.0874470344930132
210817525,1721746383,1721746384000000000,1721746384,1.087545,1.087545,1.087545,1.087545,0,1.0875065,1.0875401637984723,57.33061768906625,3.479166731157335e-06,-3.803353391158118e-06,1.087566923505362,1.0874460764946379
210817526,1721746384,1721746385000000000,1721746385,1.087555,1.087555,1.087555,1.087555,0,1.0875080000000001,1.087540745610297,60.098054016143394,5.459739700564015e-06,-1.9507347728136913e-06,1.0875715924523843,1.087444407547616
210817527,1721746385,1721746386000000000,1721746386,1.087555,1.087555,1.087555,1.087555,0,1.0875125,1.0875413046059716,60.098054016143394,6.949251403876033e-06,-1.7073753747574645e-07,1.0875760216498547,1.0874489783501455
210817528,1721746386,1721746387000000000,1721746387,1.087555,1.087555,1.087555,1.087555,0,1.0875175000000001,1.0875418416802474,60.098054016143394,8.037054004317312e-06,1.4708207708828653e-06,1.0875777909611823,1.087457209038818
210817529,1721746387,1721746388000000000,1721746388,1.087545,1.087545,1.087545,1.087545,0,1.087522,1.087541965535924,55.594578811658415,8.000009842135114e-06,2.7766585851333154e-06,1.087576074023341,1.087467925976659
210817530,1721746388,1721746389000000000,1721746389,1.087555,1.087555,1.087555,1.087555,0,1.0875265,1.087542476691378,58.91049085993855,8.677539232726517e-06,3.956834714651956e-06,1.087575601934792,1.0874773980652082
210817531,1721746389,1721746390000000000,1721746390,1.087545,1.087545,1.087545,1.087545,0,1.087529,1.0875425756446573,54.52566207505175,8.311756968915063e-06,4.827819165504577e-06,1.0875764973683513,1.0874815026316487
210817532,1721746390,1721746391000000000,1721746391,1.087545,1.087545,1.087545,1.087545,0,1.087532,1.0875426707174158,54.52566207505175,7.930454546167809e-06,5.448346241637223e-06,1.087575405068832,1.087488594931168
210817533,1721746391,1721746392000000000,1721746392,1.087535,1.087535,1.087535,1.087535,0,1.0875340000000002,1.0875423699049682,50.19283743237142,6.743616983717615e-06,5.707400390053302e-06,1.0875739499687151,1.0874940500312853
210817534,1721746392,1721746393000000000,1721746393,1.087545,1.087545,1.087545,1.087545,0,1.0875365000000001,1.08754247304595,54.11916193730389,6.534628956389454e-06,5.872846103320533e-06,1.0875724304884513,1.087500569511549
210817535,1721746393,1721746394000000000,1721746394,1.087545,1.087545,1.087545,1.087545,0,1.0875385,1.0875425721421872,54.119161937303886,6.296423191942679e-06,5.957561521044963e-06,1.0875715302891351,1.0875054697108648
210817536,1721746394,1721746395000000000,1721746395,1.087555,1.087555,1.087555,1.087555,0,1.0875415,1.0875430595091604,57.9624355332532,6.835761431345233e-06,6.133201503105018e-06,1.087568537011676,1.0875144629883238
210817537,1721746395,1721746396000000000,1721746396,1.087555,1.087555,1.087555,1.087555,0,1.0875445,1.087543527763703,57.9624355332532,7.1804194656799325e-06,6.342645095620001e-06,1.087561791616477,1.0875272083835228
210817538,1721746396,1721746397000000000,1721746397,1.087565,1.087565,1.087565,1.087565,0,1.0875460000000001,1.0875443698121854,61.68473383077022,8.166343344662153e-06,6.707384745428431e-06,1.087564867962275,1.0875271320377253
210817539,1721746397,1721746398000000000,1721746398,1.087585,1.087585,1.087585,1.087585,0,1.0875485,1.087545963152884,67.82167239038034,1.0441168682095991e-05,7.454141532761944e-06,1.087573218414197,1.087523781585803
210817540,1721746398,1721746399000000000,1721746399,1.087595,1.087595,1.087595,1.087595,0,1.087551,1.0875478861664967,70.37655082184462,1.2902172366047182e-05,8.543747699418992e-06,1.0875828747549077,1.0875191252450922
210817541,1721746399,1721746400000000000,1721746400,1.087585,1.087585,1.087585,1.087585,0,1.0875534999999998,1.0875493416109479,64.83300542010514,1.3885555054438115e-05,9.612109170422818e-06,1.0875877198772708,1.087519280122729
210817542,1721746400,1721746401000000000,1721746401,1.087585,1.087585,1.087585,1.087585,0,1.0875565,1.0875507399791462,64.83300542010514,1.4497771632981937e-05,1.0589241662934643e-05,1.0875907198772712,1.087522280122729
